Screening 194 tickers -- signal date 2026-01-01
Full 5-layer pipeline: Technical + ARIMA + Congress(Quiver) + News(NewsAPI) + Earnings
Thresholds: BUY>0.58  AVOID<0.42  (recalibrated)
EMA fix: oversold (RSI<35) bearish stocks score 0.35 not 0.0

   #  Ticker  Signal   Score      C     N     E     Entry      Exit    Return
--------------------------------------------------------------------------------
   1  AAPL    WATCH    0.522  C:0.35 N:0.55 E:0.50  $ 270.51  $ 312.06   +15.36%
   2  MSFT    WATCH    0.556  C:0.59 N:0.75 E:0.50  $ 470.84  $ 450.24    -4.38%
   3  NVDA    WATCH    0.576  C:0.48 N:0.70 E:0.50  $ 188.84  $ 211.14   +11.81%
   4  GOOGL   WATCH    0.493  C:0.40 N:0.60 E:0.50  $ 314.93  $ 380.34   +20.77%
   5  META    WATCH    0.529  C:0.70 N:0.44 E:0.50  $ 649.85  $ 632.51    -2.67%
   6  AMZN    BUY      0.584  C:0.55 N:0.65 E:0.50  $ 226.50  $ 270.64   +19.49%
   7  TSLA    WATCH    0.529  C:0.54 N:0.55 E:0.50  $ 438.07  $ 435.79    -0.52%
   8  AVGO    WATCH    0.524  C:0.47 N:0.70 E:0.50  $ 346.89  $ 446.77   +28.79%
   9  ORCL    WATCH    0.568  C:0.48 N:0.60 E:0.50  $ 194.51  $ 225.78   +16.07%
  10  CRM     WATCH    0.528  C:0.59 N:0.45 E:0.50  $ 252.99  $ 191.10   -24.46%
  11  ADBE    WATCH    0.476  C:0.54 N:0.50 E:0.50  $ 333.30  $ 259.21   -22.23%
  12  AMD     WATCH    0.539  C:0.62 N:0.60 E:0.50  $ 223.47  $ 516.10  +130.95%
  13  QCOM    WATCH    0.557  C:0.38 N:0.67 E:0.50  $ 171.88  $ 251.02   +46.05%
  14  TXN     WATCH    0.514  C:0.43 N:0.50 E:0.50  $ 175.48  $ 305.68   +74.20%
  15  INTC    WATCH    0.531  C:0.50 N:0.45 E:0.50  $  39.38  $ 114.68  +191.21%
  16  MU      WATCH    0.547  C:0.40 N:0.55 E:0.50  $ 315.29  $ 971.00  +207.97%
  17  AMAT    BUY      0.620  C:0.70 N:0.75 E:0.50  $ 268.20  $ 450.06   +67.81%
  18  LRCX    BUY      0.628  C:0.50 N:1.00 E:0.50  $ 184.84  $ 318.18   +72.14%
  19  KLAC    WATCH    0.491  C:0.40 N:0.50 E:0.50  $1271.19  $1921.71   +51.17%
  20  MRVL    BUY      0.591  C:0.62 N:0.67 E:0.50  $  89.28  $ 205.00  +129.61%
  21  NOW     WATCH    0.503  C:0.43 N:0.57 E:0.50  $ 147.45  $ 124.37   -15.65%
  22  PLTR    WATCH    0.496  C:0.46 N:0.40 E:0.50  $ 167.86  $ 156.54    -6.74%
  23  PANW    BUY      0.632  C:0.70 N:0.60 E:0.50  $ 179.37  $ 281.69   +57.04%
  24  FTNT    WATCH    0.473  C:0.57 N:0.50 E:0.50  $  77.88  $ 137.97   +77.16%
  25  CRWD    WATCH    0.502  C:0.46 N:0.50 E:0.50  $ 453.58  $ 731.00   +61.16%
  26  ZS      WATCH    0.573  C:0.50 N:0.50 E:0.50  $ 220.57  $ 139.73   -36.65%
  27  NET     WATCH    0.530  C:0.30 N:0.55 E:0.50  $ 196.02  $ 241.82   +23.36%
  28  DDOG    WATCH    0.485  C:0.38 N:0.50 E:0.50  $ 133.77  $ 247.35   +84.91%
  29  MDB     WATCH    0.515  C:0.50 N:0.58 E:0.50  $ 399.65  $ 335.55   -16.04%
  30  ARM     WATCH    0.517  C:0.50 N:0.56 E:0.50  $ 114.73  $ 353.29  +207.93%
  31  CSCO    BUY      0.595  C:0.62 N:0.67 E:0.50  $  75.63  $ 120.42   +59.22%
